tenure_months,monthly_usage,support_tickets,plan,churn
8,88.18407759089439,1,basic,0
23,35.712085085365715,0,pro,0
5,60.21925129093722,1,basic,0
25,58.50461819975962,1,basic,0
29,52.171120344886184,0,basic,0
40,,0,basic,0
34,22.521587930266598,2,basic,0
27,49.27718752980013,3,pro,0
13,44.918905953665,1,pro,0
35,51.75126444764314,1,basic,0
27,44.51645935916626,0,enterprise,0
50,37.158734691536495,1,pro,0
42,35.376696732672514,2,enterprise,0
43,67.69351187739184,0,enterprise,0
34,,1,pro,0
22,57.24920608514585,2,enterprise,0
17,56.99763144286474,1,pro,0
27,48.04201021287859,1,enterprise,0
34,58.467405115881164,1,pro,0
22,60.84175140383341,0,basic,0
9,39.35689294027301,1,enterprise,0
7,56.72330730927559,1,basic,0
3,88.11106384778175,0,basic,0
12,28.581814867148616,0,enterprise,0
25,43.95182128790748,1,basic,0
17,34.66140742526812,1,basic,0
11,89.7002264116962,1,basic,0
19,21.9442504446695,1,enterprise,1
43,50.14167283756722,1,enterprise,0
19,68.5827860185946,0,basic,0
55,32.63600959963134,1,basic,0
35,47.279754468317236,0,basic,0
9,35.76062280402042,0,pro,0
58,23.19141070273322,0,basic,0
53,48.579170513980216,1,basic,0
46,59.863901403802174,1,enterprise,0
10,42.03167332248451,2,basic,0
47,53.26237075278632,0,pro,0
42,63.645953640218714,1,basic,0
45,73.84775086588105,2,pro,0
43,25.308782675647254,3,enterprise,0
36,62.225083580758394,1,pro,0
21,37.57493839622502,0,basic,0
55,12.318209564868603,0,basic,0
58,34.44036739822825,1,basic,0
41,62.79841270157855,2,basic,0
22,56.12518555923876,1,basic,0
30,28.068332727121327,0,basic,0
34,82.0840479657492,0,pro,0
5,58.03905472080624,1,pro,0
6,,0,basic,0
29,39.16081453941636,3,pro,0
34,58.329765510021275,1,basic,0
13,42.24485228266014,0,basic,0
16,72.64741675998337,2,enterprise,0
8,56.25215496511457,4,basic,0
55,62.27272890850371,3,enterprise,0
30,43.88416873772401,1,pro,0
17,20.500314586053978,1,enterprise,0
47,60.51977323982979,0,pro,0
57,29.85634050416315,0,pro,0
18,47.87607798950337,2,basic,0
53,49.71661984540512,0,enterprise,0
46,34.41850105588067,2,enterprise,0
47,67.73256411829323,3,pro,0
32,21.510292081423827,2,pro,0
54,79.73118985670865,1,basic,0
9,38.2201667683744,2,pro,0
6,69.20610624747388,1,enterprise,0
57,75.7684317546281,1,basic,0
29,32.812876407117685,1,basic,0
24,35.33584840429509,3,pro,0
44,68.72574674531073,2,basic,0
18,53.7172433092021,0,basic,0
38,51.64068840314674,2,basic,0
50,13.561377368401708,1,pro,0
48,17.289176833604195,4,enterprise,1
8,60.695529479300205,0,pro,0
58,78.56469184607903,2,pro,0
44,35.88464792795017,1,basic,0
42,32.780421430355254,0,basic,0
12,54.16408809021386,1,pro,0
55,59.23764834418989,2,enterprise,0
24,61.19273903253104,2,basic,0
56,41.240396044545115,3,basic,0
14,11.301490054237334,1,basic,0
6,79.0056089797884,3,enterprise,0
50,40.12387904265006,0,pro,1
35,74.98932756873428,0,basic,0
24,10.423281347644611,2,pro,0
58,57.381559823096296,0,pro,0
58,40.06192845615806,3,enterprise,0
1,28.42703485619118,3,pro,0
37,69.29596561947615,1,enterprise,0
48,75.6663467766208,1,basic,0
41,38.35239976551948,0,enterprise,0
36,62.85573483849522,1,basic,0
31,28.649488227548737,1,pro,0
32,37.715942413266156,1,basic,0
19,45.127676684813316,0,pro,0
9,43.0998128408946,0,basic,0
24,62.68550671414117,0,pro,0
42,26.033451127391448,0,pro,0
56,69.23156269709588,0,pro,0
57,69.19677112529818,1,pro,0
12,45.67746437694627,1,basic,0
2,26.487769794204862,0,basic,0
59,,1,basic,0
40,48.74870375895442,1,basic,1
45,35.78376959714626,1,pro,0
49,52.03327322048675,1,basic,0
22,29.05409612025874,2,basic,0
52,50.05290862370952,2,pro,0
38,48.778821760686924,2,enterprise,0
38,50.22318709503316,2,pro,0
23,55.66555184450582,4,basic,0
21,55.78888232847038,1,enterprise,0
23,69.23825523490186,1,basic,0
43,34.475079242424,0,basic,0
30,64.28060655213761,1,pro,0
2,53.189885796010145,0,basic,0
1,41.73312199177402,2,pro,0
12,30.28325219937125,0,basic,0
30,78.91114382090853,1,pro,0
36,54.76576131166401,0,basic,0
58,39.802439185555,3,pro,1
46,51.47589791744391,1,pro,0
17,50.13511566213008,1,pro,0
31,39.69095390931651,3,basic,0
45,22.74607922471369,0,enterprise,0
53,53.07854106391926,0,basic,0
27,46.82697591556549,2,pro,0
43,44.47335649430076,0,pro,0
13,69.54256307050326,0,basic,0
28,24.091943326717768,0,pro,0
54,31.184282389578847,1,basic,0
23,53.24269936394697,1,basic,0
1,66.55346646881263,0,pro,0
47,62.162780031523454,1,basic,0
18,64.45721385627303,1,pro,0
26,6.574513954041905,0,basic,0
59,59.89096809837905,0,basic,0
23,58.32509038986323,2,basic,0
16,63.590477703099076,3,enterprise,0
14,36.490026348315745,2,basic,0
51,60.17047053834191,3,enterprise,0
13,69.91682679695732,1,basic,0
36,81.84330960400428,1,basic,0
14,55.12274073533507,1,enterprise,0
48,23.837921977656325,2,basic,0
43,51.21377137180216,1,basic,0
38,62.87572509841215,0,basic,0
26,60.286719461259835,1,basic,0
22,87.98428958253913,1,pro,0
57,46.185631005330656,1,basic,0
45,30.036538241053176,0,pro,0
24,37.58780575943073,0,pro,0
2,63.145216287803976,1,basic,0
8,34.329591869087636,1,basic,0
27,29.57958879529963,1,pro,0
28,33.64731998398639,2,enterprise,0
22,74.06670991452508,1,pro,0
59,54.881721080104114,3,basic,0
29,43.538023708715436,1,enterprise,0
47,66.97423483648913,1,basic,0
8,63.773126855990945,3,basic,0
23,30.936955378759347,0,pro,0
14,66.62450046590003,1,basic,0
9,55.020279479156024,1,enterprise,0
34,9.466121084594626,1,enterprise,0
9,26.774475786321474,1,basic,0
23,55.378596342509155,1,pro,0
41,59.83531132941418,1,basic,0
47,44.561926506836926,2,basic,0
34,30.51525846102856,0,pro,0
36,55.15383538961449,3,enterprise,0
18,14.096246722539561,2,pro,0
51,61.263932967504815,1,basic,0
11,47.29140788141846,2,basic,1
44,49.74410413128503,2,basic,0
6,37.417953707332245,1,pro,0
36,66.6934978650992,0,basic,0
15,4.263736895459601,1,basic,0
17,33.17569142390751,1,pro,0
21,61.76992252619925,0,basic,0
47,36.44254211583247,1,enterprise,0
47,79.25168442764364,1,enterprise,0
15,58.775380602691996,0,basic,0
32,35.30358167920111,1,pro,0
5,72.338670979673,0,pro,0
53,48.65867757725798,2,basic,0
57,62.01774012087422,1,pro,0
22,38.37104736592569,0,pro,0
32,38.71615631476632,1,enterprise,0
32,64.64413631537164,0,enterprise,0
46,52.63270974017958,2,basic,0
5,35.727152852154155,0,pro,0
32,33.32282755433832,1,pro,0
50,63.55706302794208,1,pro,0
37,85.53125329735673,2,basic,0
33,34.21316352712071,1,basic,0
2,64.23189151739783,0,basic,0
55,0.0,1,basic,0
12,23.4494392153182,2,pro,0
21,64.22112834072294,0,pro,0
40,82.26756003479821,1,enterprise,0
28,52.135040645626994,2,pro,0
34,61.69018398032701,0,basic,0
35,56.0503208641924,0,basic,0
10,70.86217949574909,1,basic,0
1,29.54098665201759,0,basic,0
57,63.52156102487588,1,enterprise,0
48,42.39149805942037,0,basic,0
10,,0,enterprise,0
40,50.88380450572388,0,pro,0
31,46.924275690297264,1,pro,0
44,35.81426188351589,0,pro,0
9,45.94312561441851,2,pro,0
42,32.30574748134659,0,basic,0
43,80.25563730804723,0,basic,0
59,64.8259691290711,0,basic,0
17,42.84045337257192,0,basic,0
26,82.42977855444258,1,basic,0
8,76.42051796804172,2,basic,0
1,60.66001200956973,0,enterprise,0
3,40.46717792915112,2,basic,0
27,56.12713742710502,2,pro,0
11,62.33996727433634,1,basic,0
44,78.4960407520561,2,enterprise,0
12,47.482339249722614,0,basic,0
37,39.85352223060305,1,pro,0
32,96.34358954355292,0,pro,0
20,78.46514455213722,0,pro,0
27,,2,pro,0
59,32.86976215062358,4,pro,0
57,60.68023960609882,0,basic,0
17,73.1483044640666,0,basic,0
57,65.97167569559423,0,enterprise,0
13,67.33973728593638,1,basic,0
47,51.90893721084597,2,pro,0
21,73.5357006049779,1,basic,0
40,39.120603515861674,2,pro,0
39,,4,basic,1
50,41.150112530353425,0,basic,0
23,38.273187949568744,0,basic,0
56,89.57105968815611,3,enterprise,0
52,17.514292053936316,1,pro,0
2,55.6791689371961,1,pro,0
6,31.49963635686354,1,pro,1
7,26.37500251954101,3,pro,0
39,52.950186557020004,0,basic,0
22,19.953799275789397,1,basic,0
10,49.13016201836795,1,pro,0
6,96.31971318016261,1,basic,0
55,48.69220708118108,2,pro,0
36,59.942905589401875,1,basic,0
2,34.04679465100269,1,basic,0
16,60.406140735215686,0,pro,0
39,21.301282426053806,1,basic,0
16,54.5934857625766,2,enterprise,0
46,48.256388226024654,0,pro,0
18,93.7313225897209,0,basic,0
38,48.94063405620001,0,basic,0
6,43.413866008703394,1,pro,0
48,39.45781648228261,2,pro,0
44,26.735286138354756,2,basic,0
32,65.75082494808238,3,basic,0
39,79.23264177549885,0,enterprise,0
4,43.05496846828419,0,basic,0
36,64.52079022906105,3,basic,0
27,43.35965382480432,1,pro,0
3,58.37094706600502,2,basic,0
2,59.487018191344674,0,pro,0
26,21.899524356361198,1,pro,0
43,34.99123868622229,0,pro,0
41,68.92830587787087,2,enterprise,1
11,12.413221948014964,1,basic,0
10,50.43586567785868,2,pro,1
15,43.442059417651826,0,basic,0
23,31.799882784704288,1,basic,0
9,51.252350267787854,1,basic,0
2,56.37823783739195,1,pro,0
22,60.97373052985638,1,basic,0
5,0.0,0,pro,0
12,83.67411268713713,0,pro,0
13,40.714861697105576,0,pro,0
23,70.98151672094473,0,pro,0
25,47.78305326972046,1,enterprise,0
4,38.60993644802024,1,basic,0
28,48.906220269849314,1,pro,0
54,113.42093184691862,4,enterprise,0
53,81.40367360258028,1,basic,0
9,43.246771572043684,1,basic,0
19,54.69147647191927,1,pro,0
39,72.55194819371475,0,basic,0
2,61.73920263123682,0,pro,1
34,51.82285095646468,1,pro,0
49,46.38136655839562,0,basic,0
47,28.63665479159328,0,basic,0
4,65.11984783041133,0,basic,0
17,72.13123167932736,1,pro,0
6,94.67519026279625,1,pro,0
30,39.1968772905406,0,pro,0
57,63.100664358422776,0,enterprise,0
48,49.450298910501346,1,basic,0
45,75.19933098557051,1,basic,0
45,48.11798008800232,1,enterprise,0
20,37.14089585129575,2,basic,0
58,16.30959452505835,1,basic,0
8,64.36999467230746,2,basic,0
9,53.29071524579722,3,basic,0
23,72.54386784787421,0,basic,0
28,39.073400216526835,1,basic,0
21,101.92438236614721,1,enterprise,0
28,35.92366043073037,0,basic,0
52,60.337732048700644,1,pro,0
28,58.375418566017224,2,basic,0
25,72.14745365145612,2,basic,0
38,46.77256214540072,0,basic,0
5,31.741149250133603,1,basic,0
53,30.31395708456575,1,pro,0
55,66.34284656908338,3,enterprise,0
2,52.14919728335674,0,enterprise,0
37,56.92377880595581,0,pro,0
59,33.745699085167836,0,basic,0
7,52.8239490737967,0,basic,0
9,54.38178080257333,1,basic,0
7,62.33331032967634,2,pro,0
55,20.767720014079757,0,pro,0
28,34.65605200891562,0,basic,0
57,84.58406217850005,0,enterprise,0
6,42.14097356704073,0,basic,0
41,48.32148081888277,0,basic,0
38,42.03231258425818,0,basic,0
32,20.065586874079475,0,enterprise,0
37,28.485596979051586,1,pro,0
8,57.41407012399645,2,basic,0
2,36.55833475528704,0,basic,0
37,90.54270025810722,2,basic,0
48,20.03634446597843,2,basic,0
54,11.152941204292198,2,basic,0
47,42.16065205955353,1,pro,0
28,25.808993829552556,1,enterprise,0
55,77.61326004736563,1,pro,0
2,41.475534081488604,1,basic,0
40,60.32709943942692,2,basic,0
31,21.62898728167583,0,basic,0
41,63.214016723620745,0,basic,0
52,62.67166085233696,1,basic,1
10,74.66751044621961,2,basic,0
46,54.2618362944079,3,basic,0
2,60.19076639490575,0,pro,0
28,53.18956346209855,2,basic,0
4,68.33238753044805,2,basic,0
15,41.58476066116111,1,basic,0
57,60.724171266499454,1,pro,0
25,38.44251837078313,1,basic,0
39,63.951162065632204,0,basic,0
57,44.274283455785714,0,pro,0
56,36.8168132706779,3,basic,0
6,36.23649892389796,0,enterprise,0
21,79.22519527263222,2,enterprise,0
59,18.64103468505232,0,basic,0
45,20.144009764244704,1,basic,0
25,62.538080015888696,0,basic,0
4,29.87578917145601,0,basic,0
39,,3,basic,0
10,39.923667680083184,0,basic,0
54,95.3864100131639,1,pro,0
17,36.333940998543795,1,basic,0
27,35.35302780871592,0,enterprise,0
33,42.013538499589274,0,basic,0
29,54.43839246494805,3,basic,0
33,59.82726317010045,1,basic,0
48,20.39957503509847,0,basic,0
30,58.77059241386708,1,basic,0
20,88.92391724906338,3,enterprise,0
26,14.119710009254653,2,enterprise,0
47,61.39334559755122,1,pro,0
34,65.26783654774613,2,basic,0
28,52.97626922726331,0,basic,0
58,45.9690219108725,0,basic,0
15,2.783025148911058,2,basic,1
28,73.88609254122966,2,basic,0
57,43.399995196823085,2,pro,0
50,45.764228322812315,1,basic,0
34,74.43723359422081,1,pro,0
4,3.0790928242108606,0,basic,0
33,48.52375109932519,2,basic,0
23,61.8088835335429,0,pro,0
58,64.28891640248852,3,basic,0
34,62.07402706583686,1,pro,0
34,90.68596501694148,0,basic,0
37,55.575161053388015,2,pro,0
25,70.27908968591146,0,pro,0
15,65.36350142778844,0,basic,0
31,20.307050375913846,0,pro,0
24,34.57530313452878,1,basic,0
49,91.61126037205996,1,pro,0
56,44.52019404105334,1,pro,0
28,48.636209254829026,1,pro,0
39,23.630533125323552,1,enterprise,0
12,43.11467047030942,2,basic,0
35,23.713455695744926,1,pro,0
10,37.800490919237205,1,basic,0
4,61.05397285153113,4,basic,0
13,33.36032536456743,0,basic,0
4,37.68857351079534,1,enterprise,0
51,76.74331632235621,0,basic,0
13,59.392079458020206,2,enterprise,0
54,60.30599126042703,1,pro,0
9,69.87538970743803,1,basic,0
40,38.96187620019067,2,enterprise,1
59,42.176285207914006,2,basic,0
7,8.813355879853376,1,pro,1
1,64.65416074299071,1,basic,0
17,45.84187688558323,1,basic,0
22,49.89862463842128,1,basic,0
29,28.184467547932947,1,pro,0
4,62.38195660784154,0,basic,0
5,62.51588744675941,1,basic,0
38,53.616744280631316,0,pro,0
6,18.204536443031103,0,basic,0
3,33.13684965091676,0,basic,1
23,49.297610045029984,1,basic,0
5,33.24551127194548,1,basic,0
9,,2,basic,1
5,70.10901021065101,0,pro,0
29,34.88213332476728,0,enterprise,0
17,46.36554974485042,0,pro,0
50,36.28719040534055,1,basic,0
35,70.61748637827735,1,basic,0
20,67.93105845669379,3,pro,0
48,103.23210043416128,5,pro,0
12,50.14234487347046,0,basic,0
16,31.319664068203576,0,pro,0
9,58.19244579401108,3,pro,0
17,45.35216279662543,4,pro,0
25,53.824625798135216,1,basic,0
49,74.88080259272648,1,basic,0
22,44.30856651440174,0,basic,1
45,64.46586131531907,1,enterprise,0
50,7.680054728389926,1,pro,0
8,71.18409918781363,3,basic,0
43,52.71518846515729,1,pro,0
48,45.24972521562996,2,basic,0
21,40.04093665745947,1,pro,0
50,78.38673233371823,0,pro,0
48,39.9356918179603,1,basic,0
11,75.43639148957428,0,pro,0
10,39.94704071523978,2,basic,0
37,51.02289593157727,1,basic,0
25,57.22041175356414,1,basic,0
12,90.62185044989138,2,enterprise,0
58,55.13154440744911,2,basic,0
15,54.894029658934066,2,basic,0
11,48.8368451326753,0,enterprise,1
30,44.16076385128026,4,pro,0
22,38.0738995196637,0,basic,0
31,86.38048027811952,0,pro,0
20,79.62054757546078,1,pro,0
29,36.484323559322426,1,enterprise,1
28,53.46020662852919,3,enterprise,0
32,26.71683162256187,1,pro,0
54,69.08657843790358,1,basic,0
13,64.01276360167256,1,pro,0
25,52.53197731134034,0,enterprise,0
46,34.14288009282197,1,pro,0
54,,1,basic,0
17,62.63758500029462,1,basic,0
57,46.71574481076117,2,pro,0
54,65.04981091300186,3,pro,0
17,23.422803628881628,0,enterprise,0
31,38.329087995844446,2,basic,0
43,31.274477542073466,0,basic,0
18,52.57498161405034,2,pro,0
14,83.6505123027406,0,pro,0
11,51.259134540693616,0,pro,0
28,73.02685415768742,0,basic,0
29,49.64924102961273,1,pro,0
43,42.14716938779312,0,basic,0
23,70.5247363332112,2,pro,0
29,61.10654071772816,0,basic,0
37,78.6258192531976,1,basic,0
44,69.71862154790819,2,basic,0
30,33.97647481620413,0,basic,0
11,0.0,0,basic,0
3,52.95364063521601,0,basic,0
30,26.66905129626035,0,basic,0
50,22.003873710323198,2,basic,0
34,20.56424055401291,0,enterprise,0
4,37.3501633576612,1,basic,0
7,46.16898909747892,0,basic,0
49,50.26744437184857,1,enterprise,0
19,91.04723936657535,0,enterprise,0
48,25.90342901999226,0,basic,0
10,49.93392151117126,0,enterprise,0
55,25.257116343799346,1,enterprise,0
11,30.228503849945184,1,basic,0
40,51.462004145581105,0,basic,0
27,58.49421661951135,1,basic,0
10,24.40957308749683,0,enterprise,0
20,72.99374568919579,0,basic,0
27,31.50748071626333,0,pro,0
14,69.27217055136555,0,basic,0
26,49.05861217606275,1,pro,0
8,68.220126730029,1,basic,0
38,61.42818111161418,1,basic,0
57,44.36149947104629,2,pro,0
23,59.65016820351053,0,basic,0
27,23.232572761872948,4,basic,0
40,24.07707557116668,1,basic,0
56,42.95510461475401,0,basic,0
13,77.52411057819123,0,pro,0
10,35.13129830738467,1,enterprise,0
21,38.09501649631942,0,pro,0
57,83.36301259436087,1,basic,0
33,50.928296449668196,1,basic,0
4,50.07480443880901,1,basic,0
26,29.05786083248479,3,pro,0
58,51.269415285011256,1,basic,0
8,61.9221466743873,0,pro,1
14,48.93508846168593,0,pro,0
57,65.34115638978085,1,pro,0
4,56.62707456216527,2,basic,0
41,71.05476007596293,0,pro,0
32,66.58147801599289,0,basic,0
50,47.38061467064643,1,enterprise,0
55,67.43898675031048,0,basic,0
22,86.1480199628169,0,enterprise,0
18,56.12336661142529,1,enterprise,0
56,25.63426148667758,2,pro,0
36,53.865322364019,1,basic,0
48,46.05570927225992,2,basic,0
2,101.86258924315763,1,pro,0
58,65.11990564562613,0,basic,0
26,27.874367511933407,2,enterprise,0
12,46.2277166975071,1,basic,0
39,79.21293422540595,0,basic,0
29,26.728232235901853,0,pro,0
44,40.10716845295045,0,pro,0
23,49.95043003867724,0,pro,0
18,46.940753217428735,0,basic,0
37,38.02767526794101,1,basic,0
55,52.492363918722006,2,enterprise,0
15,21.63269281806209,1,enterprise,0
38,38.25636933634324,2,basic,0
6,37.83917723254331,0,pro,0
10,43.76878947202566,2,pro,0
29,43.79163610708307,1,basic,0
4,49.69217535385925,0,enterprise,1
38,42.7653308503963,1,enterprise,0
35,41.349887069506195,0,enterprise,0
23,56.904582089760694,1,basic,0
45,67.66311754102125,1,basic,0
59,68.88958732914546,0,basic,0
55,26.59579673050501,0,pro,0
24,54.5716911517253,2,basic,0
36,64.55629206693304,2,pro,0
18,44.276445678052795,3,enterprise,0
6,58.94745650269658,0,basic,0
49,45.19957198466457,1,basic,0
24,,2,pro,0
28,19.12785301409453,1,enterprise,0
25,58.800111938798196,1,basic,0
17,39.92794702546068,1,pro,0
42,34.858158269319134,1,pro,0
17,43.56965907330325,0,pro,0
2,69.27246101293323,2,pro,1
56,68.40583900279138,0,basic,0
42,54.508999916854464,1,basic,0
57,66.81419113302039,0,basic,0
50,41.38853430520667,1,pro,0
39,24.628348460969086,1,basic,0
59,12.207326780166767,2,basic,1
17,48.882281802504224,1,basic,0
10,46.56984865140206,1,basic,0
42,50.215930482330464,0,basic,0
