sqft,bedrooms,age,neighborhood,price
959.0878710495432,3,32,C,232295.54908945606
2101.6097099249196,1,9,A,361041.20308422856
2393.827819971483,2,39,A,340362.2445370966
1701.4232444248255,3,40,A,307334.496391878
1155.3810850629393,5,13,A,211738.84325700297
2323.825291573024,5,33,A,387934.1779676202
1031.763633171256,2,30,D,129534.04942894314
1372.1591429644368,2,1,D,234167.82644049375
2172.6107121240593,3,28,B,330068.8895723472
449.91529585524495,4,1,B,147792.06973759772
2031.8217585397836,1,19,C,339636.16790912463
1451.015498154298,2,20,B,238956.88029127658
1865.5678184866883,1,60,A,194856.39997378358
1754.5790842675062,4,24,A,334349.5885542686
1921.268637026376,5,48,A,296541.9644335665
2216.503162024205,3,53,C,339529.4742099959
1344.9781494609545,1,34,C,289477.7451879323
2652.58921338715,3,65,C,464462.7440295643
2235.656273368659,1,45,C,361119.21568383474
2306.2395973819607,4,32,A,343929.02388126345
2498.918388666617,4,35,B,360673.504159487
2272.5529330235217,2,7,B,366504.0867866887
2306.447208347155,2,26,A,309760.3312020691
1845.356166445731,1,23,D,305517.1736861401
943.9356894061606,4,17,A,186132.30241000577
1718.9729399777916,2,11,A,282312.43428578204
1338.2912158939766,1,55,C,230219.5229266308
946.3549388907519,5,79,A,165123.7638238727
1955.0716745477926,1,1,A,301925.36217630474
1458.8703275114144,3,2,B,241503.67746782704
1182.1173371931218,2,8,B,246635.66662208104
1174.1993519570606,3,65,A,175290.82806203657
1961.0502478253488,5,45,A,319526.79679778375
2015.2031695022067,4,5,D,284398.55936392356
2593.4744818601,1,23,B,404981.5445089371
1791.6511988855439,3,0,D,237821.55671688024
2425.103855527693,1,22,D,325637.6170765652
2641.3588960635134,1,49,A,357394.0956423684
2490.0993816898153,3,61,A,306864.50249029975
380.81765623381534,2,79,D,53148.50579488947
2537.2102315220527,3,79,B,377878.91554440255
2003.7720049491857,3,65,A,267577.00383637525
2054.2628117120084,3,42,A,300777.89317480853
2022.7364506417553,1,9,B,1500127.9915084396
,2,0,B,331069.91563580045
1991.6485321514285,1,45,A,259635.32889962773
1584.6520148768277,4,48,A,228270.17947921398
659.0188209744033,5,36,A,138269.9893140251
1734.651163255546,5,60,C,320005.02293840837
1317.760890887594,4,73,B,224236.40363006984
2448.098047522731,3,14,C,421295.32845174224
1626.7400964027736,2,19,C,327677.6266932067
,5,19,A,317345.1573735367
1290.236426633914,2,66,B,214966.43762782335
1493.626519261124,4,16,A,286863.20105536684
1793.080162988048,2,42,A,244729.79533741475
908.7748894418729,1,62,C,187673.69895323433
1980.4110685767635,1,45,A,207371.3654946592
1736.3566479313495,5,74,C,325553.2329316303
1088.5681169968598,5,67,A,187560.297200662
361.06028076133725,2,64,C,168442.1091699301
2107.831280328183,5,69,B,330238.8623450879
1621.449576634002,4,30,C,302244.6938623866
1481.994952069105,2,44,C,337999.13720105996
1658.3072220882348,1,62,B,268847.8988996669
2889.8855645286867,5,51,A,401767.8651155023
1770.1194185642141,3,43,B,254116.85496467736
1851.9715577931254,3,13,A,258754.5232316818
907.7562781947612,2,32,B,213331.931569458
2788.40343981366,5,31,B,435600.168047898
2350.4927900665766,4,36,A,366149.7920201498
2440.1609202031073,3,47,A,360909.9611573935
1828.6036387270078,2,10,B,285659.10248712095
2349.9928732947574,3,78,A,317856.83514992014
,5,77,A,329066.9559265741
2167.9134467154036,1,31,A,301776.55382178735
1708.684224955026,1,65,A,234550.7797851702
915.6672311748246,1,72,A,139146.27774512058
2417.3126086819098,3,16,C,410918.51963172224
639.0242180341759,3,20,C,228066.89401442197
1656.0379972451783,1,51,A,250611.23264276067
1677.2865069602035,4,2,C,355300.0402835231
1174.2839154092972,2,8,A,178121.75727397212
2167.873881801948,5,37,C,364509.3719800176
1679.802179154259,5,7,A,320638.07222441165
1537.8790046416311,4,57,B,280820.9805369898
2111.905038586585,3,11,D,316671.8267523551
1514.0525756649517,1,47,D,205601.3920624717
2633.387984902985,1,45,A,399727.545269828
2010.8730457123884,5,76,B,337708.02956931706
1515.4002078993365,4,25,B,266610.6359911205
633.4410144086735,5,78,A,132725.26340273797
1015.3480818593115,3,66,C,219069.87175248528
2452.098470861018,3,73,B,388521.4557263211
1769.6375621331945,1,48,B,292002.3752908399
1630.1249605922792,3,22,A,276915.9637172266
2785.9509685456183,3,68,A,435629.6584998035
1030.410453555661,1,7,C,241202.2898815353
1448.6053200951844,3,77,D,212013.38592689348
1516.4473939449094,4,17,A,276449.37124290667
2151.8023689187803,3,9,D,329738.33395403443
1401.8788810175718,1,15,A,180329.46192952435
1431.949290831583,3,25,A,212920.7542783064
836.9103618689319,5,22,C,253160.1019277807
2237.609642410714,4,32,A,362780.66803901
2283.6836151090133,4,67,D,314859.307013409
1514.1739515593029,4,29,A,244094.5522061754
1898.0039673247793,1,57,B,255988.0420034773
1024.412326344395,5,19,C,261023.12830959103
1516.9121071554587,5,37,C,319222.0920868519
2626.7705716335126,3,56,D,374223.7674826621
1881.4384404402806,1,13,A,270116.4534427013
3186.2180920775327,3,14,B,457988.95557566313
1327.6843547057053,2,27,A,242013.60405789065
2148.1706500345845,4,56,A,320188.2366837528
1682.6965033001386,5,64,C,325588.06657250295
2139.490708096856,5,31,B,316816.65573250724
1795.6731842047461,4,77,C,312507.22526075726
1463.2811337545045,1,42,C,303870.6269913425
1279.4299414069783,5,47,A,262882.6397595982
3639.622043429338,1,52,C,522874.5348627874
1753.5929641654704,3,61,C,327979.32547931455
590.0035858600529,5,51,A,147238.21080003487
1410.8396352579994,5,25,B,323824.2762452221
2206.823836274398,3,19,A,269287.1118004554
1499.994940089151,5,68,A,247709.8502796408
2616.2677214911546,1,37,C,329047.31084883003
2401.4389637063746,2,26,C,415083.7344404739
1708.5968185054585,4,26,A,318543.0233721784
1516.670434334374,2,50,B,250316.89993093212
1197.119395783382,1,78,C,232083.0421817668
1380.0200746120051,3,56,D,220614.5346174579
916.114155200625,1,50,A,182940.48667145742
2522.6377749198505,3,65,D,288928.2967024644
2754.420472275637,3,26,B,408090.8845658711
1046.3171581633603,4,62,A,196850.90307326918
1090.990214588122,4,19,A,197636.02757227345
738.8928857478497,4,36,A,143371.99886443134
1221.6874615606957,5,1,B,233824.11684651038
300.0,3,60,D,69771.29563806746
1114.6326260208482,5,6,C,277902.27480727347
2578.1492398803143,1,15,D,376949.5935843553
1592.596482321321,2,64,D,225432.4596966224
2312.750540912045,2,20,C,364831.0187961121
1506.618561694773,5,19,C,318321.89740127535
2856.4003781958736,1,9,B,444613.0561371762
1919.5307898083142,1,51,B,279511.88210253674
1570.7986247139117,3,49,D,230671.17378824975
3331.4544152226485,4,76,B,498337.63414092606
1605.3168862287366,1,34,A,225044.88338900325
1067.2659901643183,2,9,B,207642.74600874455
1921.146001176066,1,37,C,328084.1595142792
1776.6989768651522,4,74,A,285749.7166767834
2439.794731899754,2,26,A,302205.8929583927
1247.0196453013132,3,15,C,275258.9343254067
2282.8301588876984,4,61,A,327223.25585844554
2311.6490823445747,1,70,A,312195.38592844474
1399.3876248389577,3,9,B,284194.5954611454
1897.9464034336065,1,58,B,302070.93204172136
1301.5488258873975,3,72,C,314735.8609472333
3207.4848443044007,2,65,C,494193.43337076245
1377.5162626318997,3,61,A,172148.65456870163
1528.1553337987716,1,28,B,237782.92762027276
1160.497186821975,1,40,B,214738.1402836017
1592.327234896096,4,23,D,253626.08413571116
1796.4743839818575,5,79,C,363357.27379326476
2260.673481206812,3,47,C,334994.849445284
,1,39,A,229039.87009607558
1688.5356247970485,4,49,B,293155.3008516986
950.1063801515747,5,72,A,187780.33631990303
1303.5586639403068,4,68,C,263253.6959055244
3453.4845349655707,1,13,B,482031.08724510367
2424.7459150168775,1,9,B,330393.0293418874
1331.145574993611,3,55,D,247358.04191121075
997.5616550830252,3,32,C,209837.95023363802
1214.6503016402053,1,28,A,220298.3270182981
1786.985484291759,4,18,A,285704.2506883844
1820.8366730155142,1,65,A,252863.27336292763
1353.3836394414864,5,28,B,310808.5482670594
1028.0553199574135,1,47,A,162382.71438730985
2653.427103149068,5,21,C,480783.6750792754
2071.0112707770577,5,49,B,340933.8906542429
1575.2591882592387,2,9,C,317002.04532006657
1667.603275310348,1,44,A,235099.78941633037
1482.2817245245985,3,24,A,219206.9430760792
300.0,5,33,A,98149.60499931125
1869.3970962555754,5,79,A,310708.29546438763
,1,64,A,189226.81073735253
1198.3894205803083,1,55,A,193972.71427300308
1415.8425567657757,5,48,B,260560.21125429095
2239.381028826778,5,47,B,370295.2512493078
1097.6815149553902,2,24,D,197892.80656671745
939.4311241955268,3,64,D,157265.3962675245
2183.911245103427,2,27,A,325191.3083013874
2252.6213427837306,5,51,A,310069.3354417278
1224.639775323467,3,53,B,209605.31399102742
2137.4386063757756,1,37,A,286318.9825102362
1625.0205417511488,2,33,A,229171.67838412503
1980.775305932136,5,41,D,306653.38895504334
,2,1,D,221182.63028217477
2299.7366696165013,4,3,A,390773.29714500037
2521.955372469899,3,12,B,406626.8241810408
2182.24394137571,4,59,D,286686.2626001919
2135.003977017086,5,45,A,347843.55894425936
300.0,1,28,B,146564.98182130884
,5,6,B,315880.70341612946
1784.732809984474,3,66,A,248515.1281497041
1711.7726958922,1,9,C,245200.03530476458
1421.6532060173881,3,33,C,246166.36524793706
1833.2189849481324,3,63,C,373721.2774223486
2047.2704430770002,3,54,B,372254.9734175088
1641.7271036756251,2,44,A,269949.44642668945
1522.0055161740775,5,34,A,272740.9351799091
2537.8522865635628,1,26,B,361055.3207293941
1136.779735638525,3,12,B,248077.6316245698
2418.093118694326,1,3,B,362752.3608572824
1906.0874782383148,1,41,B,344306.8917871946
,2,39,C,287174.8019596689
1626.0108623584117,5,77,B,308275.98661364516
1248.0038383126819,4,34,D,211036.3946897525
2205.0387110456636,2,19,C,359509.5485942478
2008.741057182283,5,35,A,350887.36247869785
1465.9222949080913,1,15,A,219666.61879583777
1138.6690205674663,3,13,B,193873.99938167003
1981.0296561006423,4,67,C,380865.5783916927
2374.431364105159,1,49,A,349138.10814444587
1731.698190370871,5,30,D,274092.4694269278
2051.0115005335338,2,5,B,342992.1247084881
1574.3837096701543,2,40,A,307546.465530552
1840.5415236056563,3,28,C,277898.468322401
1625.230253163787,3,44,A,254068.1056995734
1976.425285784988,3,48,D,293035.14532001154
894.1364921785639,5,46,D,161693.98696974252
2186.5143139138136,1,7,C,347796.5019992153
1662.0405110380111,3,64,B,312542.7032182938
2015.1648405896312,4,3,C,430845.9203678381
1595.8139235202746,2,32,B,293072.6183387861
1992.216713624462,2,12,A,334560.3383682561
1156.462317522647,3,40,C,233627.9922480469
2513.492647493077,3,46,B,375520.881192195
777.8732474176213,4,6,A,183014.62399638662
1176.4567111324882,3,79,A,212939.555587111
1941.3996417237806,4,70,B,307668.2469813294
2677.7053711107465,1,18,A,408175.2285435163
1966.8757810848185,1,53,A,287815.35725170537
1651.2549268325483,1,5,A,277632.516118898
944.9459140540414,5,26,A,235879.1590021364
1685.2340013419207,5,18,B,322769.8017313413
1788.0737933747437,3,14,C,312552.73409033916
2814.341187203638,5,79,A,373599.5330357794
2173.2751329634693,4,42,C,365276.65013816726
882.5442750429321,2,37,D,143757.5276743605
3016.067457145916,3,13,D,415877.505438436
1562.994074700724,1,46,B,241171.73366013737
1272.3241711774099,1,29,B,229363.95211366084
2684.893591252146,1,20,A,376871.25164928637
1770.1465438218193,5,43,D,288699.0860274014
1579.5584403731407,1,3,C,285722.19408045756
1931.2715933611387,4,39,A,330527.1772519833
2306.93326822543,5,22,C,353165.41824370634
2396.00172266979,4,44,A,364948.6518914822
974.8785599683557,3,13,D,174270.95647759127
2999.088882163038,2,79,A,417209.2492283704
2368.1169527973752,3,11,A,399576.6218039876
1572.4793627921092,1,17,C,314706.15652197355
1308.8040890871505,1,61,A,202267.0306349668
1218.592541545076,1,35,A,183418.30763996122
1874.0270625457094,5,57,A,314668.7602857564
1411.1902234862239,3,4,A,236746.61315657067
1341.0756208280877,4,7,A,230130.1339710255
2286.7526429649815,2,64,B,370497.08732414234
2018.740406295794,1,47,B,313199.94392794
1563.2572449457732,3,46,D,243241.90148755704
2240.548557711224,3,71,C,372228.0004894319
2620.4271757834026,4,74,B,373475.5101822342
1143.3022124222125,4,73,B,166406.24432721233
1438.0248695146515,4,52,C,301586.138192739
2365.573104131926,3,55,A,358504.340054138
2231.3643394890323,2,38,B,348085.5048840849
1936.0193138627953,1,24,C,306339.5302016713
2497.452712535074,1,42,B,353413.60988834436
1147.0729625285417,5,42,A,213602.0506631657
912.5172997373376,2,36,D,113700.91846086827
1280.095585633861,2,45,A,202476.77191545273
1873.526457321624,1,26,A,280068.1835151659
1322.3479349429376,1,33,A,206486.98035278087
1507.669106145185,3,48,B,230994.76503939956
1214.9999285398192,1,68,B,195197.620167058
1427.7425132430583,3,33,A,218007.1058932345
1197.1276686042033,1,20,A,164130.89205397866
2020.4797234473679,2,65,A,255206.58033321972
2276.9346407899316,5,4,B,380049.26478150627
1511.7324362890731,2,69,C,257970.71456993555
1675.640522717593,4,37,C,372751.5881197283
1451.380456492851,3,27,A,242986.46065873647
2118.7507293817134,2,1,A,327050.6272484116
1853.4336232435319,3,55,A,278802.57856691483
2756.4941402029285,4,69,C,425727.0942652422
1142.7167780174798,2,34,C,263009.6138386872
2017.5014995146287,2,39,C,359523.1684459809
2066.3948397880013,4,19,B,359410.643149638
1583.7358974054612,5,17,B,305444.9288460248
2150.1204764296463,3,79,D,248511.25397524494
936.886410605737,4,78,A,185314.96301890168
3071.281818437593,1,19,C,465236.0073306758
994.7733280281351,5,66,B,210217.24326052904
2351.884356338993,3,52,B,385046.1270906481
1127.3263926364662,1,68,B,185778.17379901395
2490.5298187390517,2,60,B,335337.1032497116
1569.1355840345987,4,4,A,280716.9845252488
1895.0537442973268,3,55,B,356634.10470746533
1832.0062534240408,4,75,B,267450.8502414851
2460.440457014877,5,7,B,411534.0857953555
1607.0715299142441,1,27,C,283642.3781792575
300.0,4,22,C,192323.705744475
1343.9647259613398,2,58,A,209993.0009229433
1910.227393853369,1,54,B,258581.72403808477
1535.719077077843,5,19,A,217801.24317827896
2261.892510792479,3,20,B,395601.15875589126
2409.196197584681,3,36,B,371774.918323895
1711.3369140601142,3,77,B,257572.85536320193
906.2127633704929,1,64,D,127972.67791169521
2630.4990660035382,3,35,B,399117.5946904623
,5,35,D,338326.4409104504
1620.4853194397858,2,44,A,241672.78775100346
3064.973046835651,1,22,C,487299.77567401977
1590.6747239444014,4,40,B,249507.37734017713
1117.7281677489748,4,26,A,235351.91513464376
,1,34,A,236759.35498055725
2446.700229303462,5,77,B,386696.1257262832
1237.5279344744904,1,37,C,282461.54557451
2970.7350466460693,1,18,B,403623.3441243679
1262.084271256766,4,73,A,210751.4144586757
2372.6533658287444,2,56,B,364998.2746200377
2126.6774245219062,2,1,D,329048.0767757366
1707.5657642503058,1,10,B,259601.36605251548
2448.319787230654,2,77,C,422910.09512658743
900.1207266790832,5,21,A,143234.570790062
2614.543072159913,5,9,A,406901.04666448775
1761.789582617855,3,76,B,255724.09924149743
1474.538850081892,1,34,A,220618.34961037483
2249.504428824049,4,48,C,407307.32940186874
2435.9394081595465,5,55,B,379276.41366724466
2261.8772583741697,4,47,B,384767.7649182743
2999.702292626992,3,64,B,439680.36626507435
2448.435645630059,4,23,C,435027.272481468
2570.1039794522435,1,52,B,383821.8151496551
1476.0816376940911,5,23,A,207174.75842948852
1863.9142662372178,5,39,A,342658.67597984767
2137.7895493953138,2,13,B,300493.00876433187
1789.3546579780239,4,71,A,280941.96087892423
1980.9811399039415,4,51,B,332587.07265810214
2055.6628596807413,2,34,C,310957.6278369801
2306.5463506089213,5,10,B,377535.0638931964
1739.0346655379856,4,19,A,270691.93463494343
1590.1204707648712,4,35,C,290503.60334593564
1303.0106098700696,2,62,B,231427.68108152505
1264.9606043146373,1,39,B,223850.45290826017
2503.470736407794,3,45,A,362962.6898710545
1749.2871071985285,2,23,D,259252.7466524076
2272.166628654326,2,10,A,301715.7640191702
1021.5816921943489,5,23,A,216050.21695433318
637.0991352964902,1,26,B,117022.47822630478
1170.545261400022,2,8,C,243504.89078581452
2487.9761805057033,5,7,A,372637.95464737935
2440.8464638994756,4,1,D,324850.00145441614
1999.223164711251,4,43,D,308360.0185771227
1318.6979099040243,3,33,C,311895.4400953549
1721.5184150604873,2,11,B,281202.4179869504
1621.3437121206407,5,60,B,303925.8006960885
1593.01599234281,3,57,D,213551.8704829404
300.0,1,72,B,106236.18907211901
1285.244168422682,1,44,C,290330.5234505425
1685.934674590659,2,71,C,315933.0258678201
2709.8566738872564,5,77,A,365512.86666097725
1896.4458354790468,2,34,A,285963.2397421199
2640.5329717576847,2,0,B,393853.6382669661
1563.7758547443323,1,32,C,279208.9714919829
1648.3868512513152,2,57,C,344304.73811474576
300.0,3,26,B,108279.63107461248
2077.9982035242115,5,16,A,315228.7912687019
2128.2573968036004,5,18,B,377009.3830529536
2858.255441735624,1,2,A,379027.8370532421
1507.9432735243026,4,53,B,239768.46488325368
1856.492493718228,4,50,B,258036.58737324388
1376.68322716735,1,56,C,223511.79613840985
,1,43,C,210305.0823272577
1372.135219957825,3,22,A,215194.5625121698
1593.0008855485275,3,24,B,289331.58651604067
2613.262817201888,1,68,B,375639.6886126236
1801.326961544027,4,40,A,323337.5047084221
1325.6731141992746,1,49,C,265569.84604673274
1885.1266969450398,3,4,A,291592.7008608485
1930.5428133360206,2,5,A,298879.3360130589
1394.2607664150235,5,34,B,322642.0751597008
2485.9401759777566,2,77,A,346391.41838394845
666.99066541401,3,46,B,180762.0770857933
1671.873223150208,1,78,D,255761.40893488927
2199.0396393775472,3,69,C,354354.57914916857
996.9404883138872,4,63,C,253140.15938493004
2016.7522491860261,2,67,D,284881.3576771434
2575.735830116283,5,79,C,417537.9960677321
2072.202758554181,4,63,B,368914.1145200071
785.9040342138442,4,28,A,146609.70568937942
1363.0829835388508,4,73,A,217090.23861138296
,5,10,B,403863.0556140117
1979.0011470391764,3,33,C,318506.1615199664
1794.0846369060148,2,71,D,272341.24269399873
2064.720356829294,5,35,C,371874.2779658375
2232.6293700035258,3,8,A,308596.64941640815
1374.9208580412042,4,0,A,231392.26660449497
1625.7599519562268,3,1,C,299490.45040897606
1885.7481898000917,4,36,B,352590.28839267243
1473.6253669276048,1,12,A,247141.4783345455
1719.9290648776473,2,40,A,290761.73687435605
2578.723056709196,4,44,A,383506.4605932451
1219.3080811847667,5,44,B,254547.43981146434
2955.9976254810845,3,79,D,367132.0506233685
2927.6066264291917,2,76,A,411680.78401932615
771.9363372214136,2,2,A,149040.09560659187
1715.3864009321865,3,6,A,290413.20310978405
2005.6149417874076,3,42,C,348757.640216478
1343.4773474961426,3,24,A,201320.07255130121
1355.3516977891627,1,1,C,308741.96398997284
1657.5505819592722,3,34,C,303105.273677273
2243.5068522669303,3,33,A,387285.4681651038
1493.1996966317433,2,66,D,214671.9547104528
2896.01628697207,5,2,C,489785.7357089107
1973.9844014031191,4,52,D,303679.9110783401
1738.4548295500058,1,66,D,249667.07040760803
2669.5558110788747,5,64,A,408672.11534668837
2175.7687170362115,5,11,D,334403.2248034998
2021.5720654125444,1,8,A,311953.14112841635
,5,15,B,279817.9636037422
2888.3913683356495,1,26,B,387339.7135827078
2287.0929538439923,4,7,A,399155.66814647435
1677.9531984331727,3,1,C,339983.0251765961
853.6805095903778,5,49,A,180296.38699425556
2023.7709250571531,5,73,D,259022.65093090065
1113.7559447390458,1,59,A,206836.2694817044
770.4324289450076,4,57,D,142922.58126715268
1632.5090967193414,2,17,A,224464.60120579216
1968.8826615543735,4,28,C,351825.3236737663
2569.4887402098984,2,54,A,378052.93515047146
1969.4710951711493,3,40,A,304867.18970908306
2283.6117163024505,4,44,A,372702.1301283539
1064.4703768661072,4,0,A,125446.83057598374
1786.4806935194656,3,11,A,313698.27831573016
1874.526791582703,1,62,A,251089.01371660526
2317.3477107719464,4,58,A,352279.2195081301
1869.6364040586104,4,73,D,261663.42642724112
2282.447374871924,3,33,D,337345.63341674476
1497.4804513337197,5,20,A,282301.87692832394
2014.772943727894,5,22,B,372895.18062632566
2048.9198407526537,2,56,A,300305.8606525365
1050.1345652480095,4,50,B,232106.9769898613
1905.3231771405856,3,40,B,323425.55509123596
1607.782483829156,5,37,C,305971.8836634145
657.5472308303792,2,53,C,178392.79837679566
2375.044008084839,2,4,A,379530.9467405517
1582.8847918174195,3,45,B,218836.14361628782
1288.5659651244835,4,47,C,310261.4667516981
1573.6099537837113,4,42,A,255106.94830109816
1882.9201818889928,2,1,A,316837.21490369854
2704.745690608284,1,47,D,349137.4901696309
1700.4400781962784,4,0,B,270248.50801212795
2083.444498175106,1,8,A,266770.5596573124
2624.147626138657,2,61,A,346495.3129977139
2120.1303187642757,3,7,B,311098.1411433766
2441.1384944512747,5,28,C,444786.63242236566
1514.0940846294266,1,25,D,179410.9929917559
2262.6295958843866,2,2,B,310688.2579305558
1765.2143999581845,2,7,A,297350.97202257696
2444.6467424935076,5,54,A,361233.5855417728
1197.8642568047158,3,30,D,168272.54204190455
1332.2653480543531,2,47,D,178944.53186914494
2561.2389436232293,3,6,B,394071.3717929788
1682.3496164583785,1,54,B,260861.30051181873
1584.6236119773182,4,13,A,257391.6854022454
1846.5434516101436,4,33,B,248526.80617577967
1386.3015255882833,2,56,C,242426.85380073774
2599.1648211183365,1,26,A,326362.44859745045
,5,1,A,209190.164895771
1709.641200983757,2,48,A,264700.01727328595
2008.1716714214174,5,47,A,314309.955965862
1737.3317585600628,3,12,B,291188.2776036041
1318.627472779271,3,27,A,218243.09400640707
1278.9664819484874,5,19,D,173469.86871014035
2055.2366554924943,1,60,D,290010.0561399219
1181.7117298999792,3,41,A,220615.57666091065
2187.7456234290244,3,64,C,383196.35274615226
885.5109818128249,1,15,A,164613.39117440517
1467.0101419699895,1,9,B,228056.39365625317
,4,29,C,332458.78659034526
1048.7088339332304,5,31,B,218908.13411198492
2191.206518115955,5,25,B,342926.8910751431
1788.8767120142984,1,28,A,301447.19951004535
1178.3557910462746,3,17,A,219802.1345834626
888.6670621497627,5,51,C,271697.77792572055
860.6463771764156,1,56,A,168649.86925034228
1830.6203670781972,3,25,C,342526.5438681611
1105.9019357600794,4,0,B,227389.08398572885
981.0722395605288,2,51,A,171165.54121752168
1661.2644387046737,5,41,A,264641.1540086292
3166.50031491182,1,66,B,414832.3824305538
1966.5242167400743,1,28,B,281136.6258197653
2257.7513001003604,3,26,B,364783.50925469963
1927.631007761183,2,40,C,303676.9445876317
2269.7892996651517,2,47,C,369805.5171740599
994.1468097210281,1,42,A,129058.12180415017
1541.6928178844491,1,65,A,254018.12802252526
1956.8105073660233,2,3,B,316786.3774710901
1789.2499103670164,1,78,A,243792.9112728198
1684.804067932745,2,51,B,279182.77780429664
1400.4743521542377,3,69,B,231109.47106524557
1644.970138377478,1,25,A,213942.4135133209
1335.481305665201,1,77,B,203410.13996260578
346.9001910841314,1,74,B,134117.83909838687
1083.294934976648,2,79,A,179778.62699855483
2085.3917633246638,3,17,C,397467.63025377615
2734.2467734029765,5,5,B,499295.4435011448
2888.1481027942123,4,33,A,425124.7590894073
1858.051046213225,4,47,B,306432.5882175808
2336.030174066481,3,23,A,379510.36542231665
2344.786746426434,4,0,B,385242.40901296824
